"epiweek_recolec","count_all_resul_inf_a_all","count_all_resul_rsv_all","count_all_resul_inf_b_all","count_all_resul_sars_all","count_all_resul_covid_19_all","count_neg_resul_inf_a_all","count_neg_resul_rsv_all","count_neg_resul_inf_b_all","count_neg_resul_sars_all","count_neg_resul_covid_19_all","count_pos_resul_inf_a_all","count_pos_resul_rsv_all","count_pos_resul_inf_b_all","count_pos_resul_sars_all","count_pos_resul_covid_19_all","pct_pos_resul_inf_a_all","pct_pos_resul_rsv_all","pct_pos_resul_inf_b_all","pct_pos_resul_sars_all","pct_pos_resul_covid_19_all"
2021-12-13,5,5,5,0,5,5,5,3,0,5,0,0,2,0,0,0,0,40,0,0
2021-12-20,4,4,4,0,4,3,4,3,0,4,1,0,1,0,0,25,0,25,0,0
2021-12-27,2,2,2,0,2,1,2,2,0,2,1,0,0,0,0,50,0,0,0,0
2022-01-03,7,7,7,1,6,2,7,7,1,6,5,0,0,0,0,71.4285714285714,0,0,0,0
2022-01-10,5,5,5,0,5,3,5,5,0,5,2,0,0,0,0,40,0,0,0,0
2022-01-17,6,6,6,0,6,6,6,6,0,5,0,0,0,0,1,0,0,0,0,16.6666666666667
2022-01-24,3,3,3,0,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0
2022-01-31,3,3,3,0,3,3,3,3,0,2,0,0,0,0,1,0,0,0,0,33.3333333333333
2022-02-07,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-14,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-21,3,3,3,0,3,3,3,3,0,1,0,0,0,0,2,0,0,0,0,66.6666666666667
2022-02-28,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,100
2022-03-07,2,2,2,0,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,50
2022-03-14,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,100
2022-03-21,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2022-03-28,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2022-04-11,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2022-04-25,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2022-05-02,2,2,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0
2022-05-09,2,2,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0
2022-05-16,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2022-05-30,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
2022-06-20,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2022-07-04,3,3,3,3,0,3,3,3,1,0,0,0,0,2,0,0,0,0,66.6666666666667,0
2022-07-11,6,6,6,6,0,6,5,6,3,0,0,1,0,3,0,0,16.6666666666667,0,50,0
2022-07-18,4,4,4,4,0,4,4,4,2,0,0,0,0,2,0,0,0,0,50,0
2022-07-25,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,100,0
2022-08-01,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,100,0
2022-08-08,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2022-08-15,2,2,2,2,0,2,2,2,0,0,0,0,0,2,0,0,0,0,100,0
2022-08-22,2,2,2,2,0,2,2,2,1,0,0,0,0,1,0,0,0,0,50,0
2022-09-12,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,100,0,0,0
2022-09-26,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2022-10-03,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,100,0,0,0
2022-10-10,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2022-10-17,2,2,2,2,0,2,1,2,2,0,0,1,0,0,0,0,50,0,0,0
2022-10-31,2,2,2,2,0,2,2,2,1,0,0,0,0,1,0,0,0,0,50,0
2022-11-07,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
2022-11-14,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,100,0,0,0
2022-11-28,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2022-12-05,3,3,3,3,0,3,3,2,1,0,0,0,1,2,0,0,0,33.3333333333333,66.6666666666667,0
2022-12-12,4,4,4,4,0,4,4,4,2,0,0,0,0,2,0,0,0,0,50,0
2022-12-19,4,4,4,4,0,4,3,4,2,0,0,1,0,2,0,0,25,0,50,0
2022-12-26,5,5,5,5,0,5,4,5,4,0,0,1,0,1,0,0,20,0,20,0
2023-01-09,3,3,3,3,0,3,3,3,2,0,0,0,0,1,0,0,0,0,33.3333333333333,0
2023-01-23,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-02-06,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-02-13,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-02-20,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-02-27,3,3,3,3,0,3,3,2,3,0,0,0,1,0,0,0,0,33.3333333333333,0,0
2023-03-06,3,3,3,3,0,3,3,2,3,0,0,0,1,0,0,0,0,33.3333333333333,0,0
2023-03-13,3,3,3,3,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
2023-03-27,2,2,2,2,0,2,2,1,2,0,0,0,1,0,0,0,0,50,0,0
2023-04-03,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-04-10,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-04-24,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-05-15,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-05-29,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-06-05,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-06-12,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-06-19,2,2,2,2,0,2,2,2,1,0,0,0,0,1,0,0,0,0,50,0
2023-06-26,4,4,4,4,0,3,4,4,3,0,1,0,0,1,0,25,0,0,25,0
2023-07-03,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,100,0,0,0,0
2023-07-10,4,4,4,4,0,4,4,3,3,0,0,0,1,1,0,0,0,25,25,0
2023-07-17,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
2023-07-24,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,100,0
2023-08-14,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-08-21,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,100,0,0,0,0
2023-08-28,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-09-18,5,5,5,4,1,5,5,4,3,1,0,0,1,1,0,0,0,20,25,0
2023-09-25,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
2023-11-13,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
2023-11-20,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
2023-11-27,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-12-04,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
2023-12-11,2,2,2,2,0,2,1,2,2,0,0,1,0,0,0,0,50,0,0,0
2024-01-08,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
2024-01-15,5,5,5,5,0,5,5,5,4,0,0,0,0,1,0,0,0,0,20,0
2024-01-22,5,5,5,5,0,5,5,5,4,0,0,0,0,1,0,0,0,0,20,0
2024-01-29,9,9,9,9,0,9,9,9,8,0,0,0,0,1,0,0,0,0,11.1111111111111,0
2024-02-05,3,3,3,3,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
2024-02-12,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2024-02-19,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2024-03-04,4,4,4,4,0,4,4,4,2,0,0,0,0,2,0,0,0,0,50,0
2024-03-11,2,2,2,2,0,1,2,2,2,0,1,0,0,0,0,50,0,0,0,0
2024-03-25,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2024-04-01,6,6,6,6,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0
2024-04-08,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,100,0,0,0,0
2024-04-15,3,3,3,3,0,2,3,3,3,0,1,0,0,0,0,33.3333333333333,0,0,0,0
2024-04-29,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,100,0,0,0,0
2024-05-06,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
